Frequency,Monetary,Recency,CustomerID,R_Score,F_Score,M_Score,RFM_Score,Segment,KMeans_Cluster
1,77183.6,325,12346,1,1,5,115,About to Sleep,3
7,4310.0,1,12347,5,5,5,555,Champions,7
4,1797.24,74,12348,2,4,4,244,At Risk,0
1,1757.55,18,12349,4,1,4,414,New Customers,0
1,334.4,309,12350,1,1,2,112,About to Sleep,1
8,2506.04,35,12352,3,5,5,355,Loyal Customers,7
1,89.0,203,12353,1,1,1,111,About to Sleep,5
1,1079.4,231,12354,1,1,4,114,About to Sleep,1
1,459.4,213,12355,1,1,2,112,About to Sleep,5
3,2811.43,22,12356,4,3,5,435,Loyal Customers,0
1,6207.67,32,12357,4,1,5,415,New Customers,0
2,1168.06,1,12358,5,2,4,524,Potential Loyalists,0
4,6372.58,57,12359,3,4,5,345,Loyal Customers,0
3,2662.06,51,12360,3,3,5,335,Loyal Customers,0
1,189.9,286,12361,1,1,1,111,About to Sleep,1
10,5226.23,2,12362,5,5,5,555,Champions,7
2,552.0,109,12363,2,2,3,223,About to Sleep,5
4,1313.1,7,12364,5,4,4,544,Champions,0
2,641.38,290,12365,1,2,3,123,About to Sleep,1
1,168.9,3,12367,5,1,1,511,New Customers,0
4,3545.69,50,12370,3,4,5,345,Loyal Customers,0
2,1887.96,44,12371,3,2,4,324,Promising,0
3,1298.04,71,12372,3,3,4,334,Loyal Customers,0
1,364.6,310,12373,1,1,2,112,About to Sleep,1
1,742.93,24,12374,4,1,3,413,New Customers,0
2,457.5,10,12375,5,2,2,522,Potential Loyalists,0
2,1628.12,314,12377,1,2,4,124,About to Sleep,1
1,4008.62,129,12378,2,1,5,215,About to Sleep,5
2,852.24,81,12379,2,2,3,223,About to Sleep,0
4,2724.81,21,12380,4,4,5,445,Champions,0
5,1845.31,4,12381,5,4,4,544,Champions,0
5,1850.56,184,12383,1,4,4,144,At Risk,5
2,585.27,28,12384,4,2,3,423,Potential Loyalists,0
2,401.9,337,12386,1,2,2,122,About to Sleep,1
6,2780.66,15,12388,4,4,5,445,Champions,0
1,549.84,79,12390,2,1,3,213,About to Sleep,0
1,460.89,21,12391,4,1,2,412,New Customers,0
4,1582.6,71,12393,3,4,4,344,Loyal Customers,0
2,1272.48,63,12394,3,2,4,324,Promising,0
12,3018.63,18,12395,4,5,5,455,Champions,7
2,2409.9,35,12397,3,2,5,325,Promising,0
1,1635.66,45,12398,3,1,4,314,Promising,0
4,1108.65,118,12399,2,4,4,244,At Risk,5
1,84.3,302,12401,1,1,1,111,About to Sleep,1
1,225.6,322,12402,1,1,1,111,About to Sleep,1
1,427.7,49,12403,3,1,2,312,Lost,0
1,1710.39,148,12405,2,1,4,214,About to Sleep,5
2,3415.3,21,12406,4,2,5,425,Potential Loyalists,0
5,1708.12,49,12407,3,4,4,344,Loyal Customers,0
5,2888.55,32,12408,4,4,5,445,Champions,0
3,11072.67,78,12409,2,3,5,235,At Risk,0
2,693.33,308,12410,1,2,3,123,About to Sleep,1
3,1226.88,74,12412,2,3,4,234,At Risk,0
3,758.1,66,12413,3,3,3,333,Loyal Customers,0
3,562.41,216,12414,1,3,3,133,At Risk,5
21,124914.53,23,12415,4,5,5,455,Champions,3
9,3649.1,2,12417,5,5,5,555,Champions,7
1,668.58,112,12418,2,1,3,213,About to Sleep,5
1,600.39,63,12420,3,1,3,313,Promising,0
4,807.04,15,12421,4,4,3,443,Loyal Customers,0
3,803.56,95,12422,2,3,3,233,At Risk,0
8,1859.31,0,12423,5,5,4,554,Champions,7
2,1760.96,162,12424,2,2,4,224,About to Sleep,5
1,777.2,77,12425,2,1,3,213,About to Sleep,0
1,582.73,194,12426,1,1,3,113,About to Sleep,5
3,825.8,21,12427,4,3,3,433,Loyal Customers,0
9,7956.46,25,12428,4,5,5,455,Champions,7
4,3750.4,8,12429,5,4,5,545,Champions,0
1,256.4,42,12430,3,1,2,312,Lost,0
15,6487.45,35,12431,3,5,5,355,Loyal Customers,7
5,5059.32,42,12432,3,4,5,345,Loyal Customers,0
7,13375.87,0,12433,5,5,5,555,Champions,7
2,806.14,84,12434,2,2,3,223,About to Sleep,0
2,7829.89,79,12435,2,2,5,225,About to Sleep,0
1,509.01,99,12436,2,1,3,213,About to Sleep,5
18,4951.41,1,12437,5,5,5,555,Champions,7
2,2906.85,13,12438,4,2,5,425,Potential Loyalists,0
1,173.55,366,12441,1,1,1,111,About to Sleep,1
1,172.06,2,12442,5,1,1,511,New Customers,0
5,5005.46,20,12444,4,4,5,445,Champions,0
1,133.4,21,12445,4,1,1,411,New Customers,0
1,1002.31,57,12446,3,1,4,314,Promising,0
1,476.49,242,12447,1,1,2,112,About to Sleep,1
1,449.45,43,12448,3,1,2,312,Lost,0
4,4067.29,21,12449,4,4,5,445,Champions,0
2,197.88,155,12450,2,2,1,221,About to Sleep,5
5,9035.52,10,12451,5,4,5,545,Champions,7
2,430.57,16,12452,4,2,2,422,Potential Loyalists,0
1,707.09,133,12453,2,1,3,213,About to Sleep,5
1,3528.34,55,12454,3,1,5,315,Promising,0
6,2466.86,72,12455,2,4,5,245,At Risk,0
3,3181.04,43,12456,3,3,5,335,Loyal Customers,0
7,2363.23,65,12457,3,5,5,355,Loyal Customers,7
2,947.4,70,12458,3,2,4,324,Promising,0
2,826.88,93,12461,2,2,3,223,About to Sleep,0
2,1189.59,18,12462,4,2,4,424,Potential Loyalists,0
4,1344.78,52,12463,3,4,4,344,Loyal Customers,0
8,1212.05,9,12464,5,5,4,554,Champions,7
2,742.19,16,12465,4,2,3,423,Potential Loyalists,0
2,729.54,187,12468,1,2,3,123,About to Sleep,5
30,19824.05,1,12471,5,5,5,555,Champions,4
7,6572.11,31,12472,4,5,5,455,Champions,7
5,3938.55,28,12473,4,4,5,445,Champions,0
18,7375.79,16,12474,4,5,5,455,Champions,7
1,723.38,53,12475,3,1,3,313,Promising,0
11,6816.42,15,12476,4,5,5,455,Champions,7
6,13219.74,22,12477,4,4,5,445,Champions,7
1,680.99,3,12478,5,1,3,513,New Customers,0
1,527.2,10,12479,5,1,3,513,New Customers,0
4,3281.63,27,12480,4,4,5,445,Champions,0
10,5596.32,22,12481,4,5,5,455,Champions,7
8,2484.98,16,12483,4,5,5,455,Champions,7
6,4541.72,32,12484,4,4,5,445,Champions,7
3,1298.66,9,12488,5,3,4,534,Loyal Customers,0
1,334.93,335,12489,1,1,2,112,About to Sleep,1
10,5417.93,4,12490,5,5,5,555,Champions,7
1,460.4,38,12491,3,1,2,312,Lost,0
2,263.21,62,12492,3,2,2,322,Lost,0
2,433.74,165,12493,2,2,2,222,About to Sleep,5
7,1246.1,15,12494,4,5,4,454,Champions,7
1,1043.1,81,12497,2,1,4,214,About to Sleep,0
3,403.7,20,12498,4,3,2,432,Loyal Customers,0
11,4257.82,22,12500,4,5,5,455,Champions,7
1,2169.39,336,12501,1,1,5,115,About to Sleep,1
5,3723.87,95,12502,2,4,5,245,At Risk,0
2,482.05,17,12504,4,2,2,422,Potential Loyalists,0
1,73.5,232,12506,1,1,1,111,About to Sleep,1
3,1304.81,133,12507,2,3,4,234,At Risk,5
2,398.27,25,12508,4,2,2,422,Potential Loyalists,0
1,176.5,283,12509,1,1,1,111,About to Sleep,1
2,982.57,142,12510,2,2,4,224,About to Sleep,5
2,138.03,65,12512,3,2,1,321,Lost,0
1,612.29,112,12513,2,1,3,213,About to Sleep,5
1,1017.68,266,12514,1,1,4,114,About to Sleep,1
1,383.7,352,12515,1,1,2,112,About to Sleep,1
2,1312.06,77,12516,2,2,4,224,About to Sleep,0
5,2502.84,27,12517,4,4,5,445,Champions,0
5,2056.89,0,12518,5,4,4,544,Champions,0
1,340.84,63,12519,3,1,2,312,Lost,0
5,2634.26,78,12520,2,4,5,245,At Risk,0
1,599.68,142,12521,2,1,3,213,About to Sleep,5
2,192.72,38,12522,3,2,1,321,Lost,0
11,1789.77,18,12523,4,5,4,454,Champions,7
8,4485.72,8,12524,5,5,5,555,Champions,7
3,1316.66,0,12526,5,3,4,534,Loyal Customers,0
3,348.71,81,12527,2,3,2,232,At Risk,0
6,1933.48,8,12528,5,5,4,554,Champions,0
4,1662.28,59,12530,3,4,4,344,Loyal Customers,0
1,125.22,14,12531,4,1,1,411,New Customers,0
1,349.83,29,12532,4,1,2,412,New Customers,0
1,1089.18,130,12534,2,1,4,214,About to Sleep,5
2,716.35,91,12535,2,2,3,223,About to Sleep,0
3,12601.83,42,12536,3,3,5,335,Loyal Customers,0
1,363.95,28,12538,4,1,2,412,New Customers,0
4,5568.35,21,12539,4,4,5,445,Champions,0
17,13400.24,19,12540,4,5,5,455,Champions,4
3,981.18,29,12541,4,3,4,434,Loyal Customers,0
1,372.7,35,12544,3,1,2,312,Lost,0
2,1000.39,74,12545,2,2,4,224,About to Sleep,0
2,1161.5,46,12546,3,2,4,324,Promising,0
2,207.8,197,12547,1,2,1,121,About to Sleep,5
1,95.2,165,12548,2,1,1,211,About to Sleep,5
1,964.83,78,12550,2,1,4,214,About to Sleep,0
1,168.0,357,12551,1,1,1,111,About to Sleep,1
2,437.82,38,12552,3,2,2,322,Lost,0
10,3692.28,7,12553,5,5,5,555,Champions,7
2,603.71,49,12556,3,2,3,323,Promising,0
5,11990.96,15,12557,4,4,5,445,Champions,7
1,269.96,7,12558,5,1,2,512,New Customers,0
2,561.71,310,12559,1,2,3,123,About to Sleep,1
3,2134.01,4,12560,5,3,5,535,Loyal Customers,0
1,238.85,302,12561,1,1,1,111,About to Sleep,1
7,3781.74,7,12562,5,5,5,555,Champions,7
