TotalOrders,TotalSpent,AvgOrderValue,TotalTransactions,FirstPurchase,LastPurchase,TotalItems,CustomerLifespan,Recency
1,77183.6,77183.6,1,2019-01-16 10:01:00,2019-01-16 10:01:00,74215,0,325
7,4310.0,23.68,182,2018-12-05 14:57:00,2019-12-05 15:52:00,2458,365,1
4,1797.24,57.98,31,2018-12-14 19:09:00,2019-09-23 13:13:00,2341,282,74
1,1757.55,24.08,73,2019-11-19 09:51:00,2019-11-19 09:51:00,631,0,18
1,334.4,19.67,17,2019-01-31 16:01:00,2019-01-31 16:01:00,197,0,309
8,2506.04,29.48,85,2019-02-14 12:33:00,2019-11-01 14:37:00,536,260,35
1,89.0,22.25,4,2019-05-17 17:47:00,2019-05-17 17:47:00,20,0,203
1,1079.4,18.61,58,2019-04-19 13:11:00,2019-04-19 13:11:00,530,0,231
1,459.4,35.34,13,2019-05-07 13:49:00,2019-05-07 13:49:00,240,0,213
3,2811.43,47.65,59,2019-01-16 09:50:00,2019-11-15 08:40:00,1591,302,22
1,6207.67,47.39,131,2019-11-04 16:07:00,2019-11-04 16:07:00,2708,0,32
2,1168.06,61.48,19,2019-07-10 10:04:00,2019-12-06 10:26:00,248,149,1
4,6372.58,25.7,248,2019-01-10 12:43:00,2019-10-11 12:47:00,1622,274,57
3,2662.06,20.64,129,2019-05-21 09:43:00,2019-10-16 15:22:00,1165,148,51
1,189.9,18.99,10,2019-02-23 13:51:00,2019-02-23 13:51:00,91,0,286
10,5226.23,19.65,266,2019-02-15 10:30:00,2019-12-04 15:40:00,2229,292,2
2,552.0,24.0,23,2019-04-09 13:29:00,2019-08-20 10:18:00,408,132,109
4,1313.1,15.45,85,2019-08-17 15:24:00,2019-11-30 10:22:00,1506,104,7
2,641.38,29.15,22,2019-02-19 13:51:00,2019-02-19 14:04:00,174,0,290
1,168.9,15.35,11,2019-12-03 16:48:00,2019-12-03 16:48:00,173,0,3
4,3545.69,21.23,167,2018-12-12 12:58:00,2019-10-17 14:51:00,2353,309,50
2,1887.96,29.97,63,2019-10-09 10:43:00,2019-10-24 10:16:00,591,14,44
3,1298.04,24.96,52,2019-02-14 12:46:00,2019-09-27 12:12:00,794,224,71
1,364.6,26.04,14,2019-01-30 13:10:00,2019-01-30 13:10:00,197,0,310
1,742.93,22.51,33,2019-11-12 15:37:00,2019-11-12 15:37:00,342,0,24
2,457.5,26.91,17,2019-08-31 14:23:00,2019-11-27 10:36:00,178,87,10
2,1628.12,21.14,77,2018-12-18 09:37:00,2019-01-26 15:45:00,944,39,314
1,4008.62,18.3,219,2019-07-31 10:34:00,2019-07-31 10:34:00,2529,0,129
2,852.24,21.31,40,2019-06-20 16:32:00,2019-09-17 10:09:00,407,88,81
